weeks_after,send_job_name,old_new_state,per_emailsegment_total,per_email_total,email_short,email_segment,perc_segmentemail_%
13,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,421,6518,_CC,AtRisk_Dec - Active-_CC,6.46
13,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,329,6518,_CC,Inactive - Active-_CC,5.05
13,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1382,6518,_CC,Inactive - Inactive-_CC,21.20
13,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,420,6518,_CC,AtRisk_Dec - Inactive-_CC,6.44
13,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,12,6518,_CC,Inactive - AtRisk_Dec-_CC,0.18
3,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,130,7358,_CC,AtRisk_Dec - AtRisk_Dec-_CC,1.77
3,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Active,387,7358,_CC,AtRisk_Dec - Active-_CC,5.26
3,PRD_WM_Personalized_Newsletter_CC,Active - AtRisk_Dec,742,7358,_CC,Active - AtRisk_Dec-_CC,10.08
3,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1137,7358,_CC,Inactive - Inactive-_CC,15.45
3,PRD_WM_Personalized_Newsletter_CC,Active - Inactive,133,7358,_CC,Active - Inactive-_CC,1.81
3,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,9,7358,_CC,Inactive - AtRisk_Dec-_CC,0.12
3,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,251,7358,_CC,Inactive - Active-_CC,3.41
3,PRD_WM_Personalized_Newsletter_CC,Active - Active,4213,7358,_CC,Active - Active-_CC,57.26
3,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - Inactive,356,7358,_CC,AtRisk_Dec - Inactive-_CC,4.84
0,PRD_WM_Personalized_Newsletter_CC,AtRisk_Dec - AtRisk_Dec,5,43,_CC,AtRisk_Dec - AtRisk_Dec-_CC,11.63
0,PRD_WM_Personalized_Newsletter_CC,Active - Active,29,43,_CC,Active - Active-_CC,67.44
0,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,9,43,_CC,Inactive - Inactive-_CC,20.93
24,PRD_WM_Personalized_Newsletter_CC,Inactive - AtRisk_Dec,8,5123,_CC,Inactive - AtRisk_Dec-_CC,0.16
24,PRD_WM_Personalized_Newsletter_CC,Inactive - Active,239,5123,_CC,Inactive - Active-_CC,4.67
24,PRD_WM_Personalized_Newsletter_CC,Inactive - Inactive,1011,5123,_CC,Inactive - Inactive-_CC,19.73
